Organization,Name,Street Address,City,State,Postal Code,lat,lon,Organization,Name,Street Address,lat,lon,distance (km)
Strive Together,Baltimore's Promise,,Baltimore,MD,,39.3558582,-76.6455333,YBUSA,AMIkids Beaufort Inc.,60 Honeybee Island Road	Seabrook	SC	29940,32.56899,-80.68511,837.6894984583729
Strive Together,Baltimore's Promise,,Baltimore,MD,,39.3558582,-76.6455333,YBUSA,Antelope Valley YouthBuild,38626 9th Street East	Palmdale	CA	93550,34.58539,-118.11403,3690.5744028365502
Strive Together,Baltimore's Promise,,Baltimore,MD,,39.3558582,-76.6455333,YBUSA,Arrowhead YouthBuild,702 Third Avenue	Virginia	MN	55792,47.51762,-92.53375,1567.040676759423
Strive Together,Baltimore's Promise,,Baltimore,MD,,39.3558582,-76.6455333,YBUSA,Asian Media Access,2418 Plymouth Ave N	Minneapolis	MN	55411,44.99179,-93.31169,1506.3748039744664
Strive Together,Baltimore's Promise,,Baltimore,MD,,39.3558582,-76.6455333,YBUSA,Aurora YouthBuild,1685 N Farnsworth Ave.	Aurora	IL	60505,41.791075,-88.281367,1018.7931017266967
Strive Together,Baltimore's Promise,,Baltimore,MD,,39.3558582,-76.6455333,YBUSA,Beloit Fresh Start,20 Eclipse Center	Beloit	WI	53511,42.52033,-89.03186,1097.4355480530069
Strive Together,Baltimore's Promise,,Baltimore,MD,,39.3558582,-76.6455333,YBUSA,Benton Harbor YouthBuild,315 East Main Street	Benton Harbor	MI	49022,42.11733,-86.45102,881.0048679677678
Strive Together,Baltimore's Promise,,Baltimore,MD,,39.3558582,-76.6455333,YBUSA,Bethel YouthBuild,1250 Portland Avenue	Chicago Heights	IL	60411,41.50823,-87.62403,959.0873981807399
Strive Together,Baltimore's Promise,,Baltimore,MD,,39.3558582,-76.6455333,YBUSA,Bibb County School District,2011 Riverside Dr.	Macon	GA	31204,32.856935,-83.643415,957.4693415562219
Strive Together,Baltimore's Promise,,Baltimore,MD,,39.3558582,-76.6455333,YBUSA,BI-CAP YouthBuild,3023 Mill St NE	Bemidji	MN	56601,47.46806,-94.83356,1718.145112724526
Strive Together,Baltimore's Promise,,Baltimore,MD,,39.3558582,-76.6455333,YBUSA,Build With Pride,4283 El Cajon Boulevard	San Diego	CA	92105,32.754885,-117.102191,3679.7285416908403
Strive Together,Baltimore's Promise,,Baltimore,MD,,39.3558582,-76.6455333,YBUSA,Building Futures YouthBuild,5800 Godfrey Road	Godfrey	IL	62035,38.95288,-90.19333,1168.301152147218
Strive Together,Better Together Central Oregon,,Redmond,OR,,44.2499692,-121.1732335,YBUSA,American YouthWorks,1901 E. Ben White Bv	Austin	TX	78741,30.21537,-97.747365,2580.6228779591547
Strive Together,Better Together Central Oregon,,Redmond,OR,,44.2499692,-121.1732335,YBUSA,AMIkids Baton Rouge,5555 Beechwood Drive	Baton Rouge	LA	70805,30.50109,-91.14448,3038.1288415749577
Strive Together,Better Together Central Oregon,,Redmond,OR,,44.2499692,-121.1732335,YBUSA,AMIkids Beaufort Inc.,60 Honeybee Island Road	Seabrook	SC	29940,32.56899,-80.68511,3716.3464782974643
Strive Together,Better Together Central Oregon,,Redmond,OR,,44.2499692,-121.1732335,YBUSA,Antelope Valley YouthBuild,38626 9th Street East	Palmdale	CA	93550,34.58539,-118.11403,1106.4367893591705
Strive Together,Better Together Central Oregon,,Redmond,OR,,44.2499692,-121.1732335,YBUSA,Arrowhead YouthBuild,702 Third Avenue	Virginia	MN	55792,47.51762,-92.53375,2233.9993650637343
Strive Together,Better Together Central Oregon,,Redmond,OR,,44.2499692,-121.1732335,YBUSA,Asian Media Access,2418 Plymouth Ave N	Minneapolis	MN	55411,44.99179,-93.31169,2196.454087996146
Strive Together,Better Together Central Oregon,,Redmond,OR,,44.2499692,-121.1732335,YBUSA,Aurora YouthBuild,1685 N Farnsworth Ave.	Aurora	IL	60505,41.791075,-88.281367,2670.7336187346414
Strive Together,Better Together Central Oregon,,Redmond,OR,,44.2499692,-121.1732335,YBUSA,Beloit Fresh Start,20 Eclipse Center	Beloit	WI	53511,42.52033,-89.03186,2588.6795388565956
Strive Together,Better Together Central Oregon,,Redmond,OR,,44.2499692,-121.1732335,YBUSA,Benton Harbor YouthBuild,315 East Main Street	Benton Harbor	MI	49022,42.11733,-86.45102,2805.0547030035095
Strive Together,Better Together Central Oregon,,Redmond,OR,,44.2499692,-121.1732335,YBUSA,Bethel YouthBuild,1250 Portland Avenue	Chicago Heights	IL	60411,41.50823,-87.62403,2732.280326527969
Strive Together,Better Together Central Oregon,,Redmond,OR,,44.2499692,-121.1732335,YBUSA,Bibb County School District,2011 Riverside Dr.	Macon	GA	31204,32.856935,-83.643415,3465.470498969348
Strive Together,Better Together Central Oregon,,Redmond,OR,,44.2499692,-121.1732335,YBUSA,BI-CAP YouthBuild,3023 Mill St NE	Bemidji	MN	56601,47.46806,-94.83356,2061.217510502231
Strive Together,Better Together Central Oregon,,Redmond,OR,,44.2499692,-121.1732335,YBUSA,Build With Pride,4283 El Cajon Boulevard	San Diego	CA	92105,32.754885,-117.102191,1326.326518430937
Strive Together,Better Together Central Oregon,,Redmond,OR,,44.2499692,-121.1732335,YBUSA,Building Futures YouthBuild,5800 Godfrey Road	Godfrey	IL	62035,38.95288,-90.19333,2626.5605966117446
Strive Together,Bold Goals Coalition,,Birmingham,AL,,33.5157399,-86.7765441,YBUSA,American YouthWorks,1901 E. Ben White Bv	Austin	TX	78741,30.21537,-97.747365,1098.7594649604969
Strive Together,Bold Goals Coalition,,Birmingham,AL,,33.5157399,-86.7765441,YBUSA,AMIkids Baton Rouge,5555 Beechwood Drive	Baton Rouge	LA	70805,30.50109,-91.14448,531.0929919762815
Strive Together,Bold Goals Coalition,,Birmingham,AL,,33.5157399,-86.7765441,YBUSA,AMIkids Beaufort Inc.,60 Honeybee Island Road	Seabrook	SC	29940,32.56899,-80.68511,577.5548639533392
Strive Together,Bold Goals Coalition,,Birmingham,AL,,33.5157399,-86.7765441,YBUSA,Antelope Valley YouthBuild,38626 9th Street East	Palmdale	CA	93550,34.58539,-118.11403,2878.87624413176
Strive Together,Bold Goals Coalition,,Birmingham,AL,,33.5157399,-86.7765441,YBUSA,Arrowhead YouthBuild,702 Third Avenue	Virginia	MN	55792,47.51762,-92.53375,1630.5558217725409
Strive Together,Bold Goals Coalition,,Birmingham,AL,,33.5157399,-86.7765441,YBUSA,Asian Media Access,2418 Plymouth Ave N	Minneapolis	MN	55411,44.99179,-93.31169,1393.881032442351
Strive Together,Bold Goals Coalition,,Birmingham,AL,,33.5157399,-86.7765441,YBUSA,Aurora YouthBuild,1685 N Farnsworth Ave.	Aurora	IL	60505,41.791075,-88.281367,929.9086108936161
Strive Together,Bold Goals Coalition,,Birmingham,AL,,33.5157399,-86.7765441,YBUSA,Beloit Fresh Start,20 Eclipse Center	Beloit	WI	53511,42.52033,-89.03186,1020.7783156425213
Strive Together,Bold Goals Coalition,,Birmingham,AL,,33.5157399,-86.7765441,YBUSA,Benton Harbor YouthBuild,315 East Main Street	Benton Harbor	MI	49022,42.11733,-86.45102,957.178651768436
Strive Together,Bold Goals Coalition,,Birmingham,AL,,33.5157399,-86.7765441,YBUSA,Bethel YouthBuild,1250 Portland Avenue	Chicago Heights	IL	60411,41.50823,-87.62403,892.1283155848786
Strive Together,Bold Goals Coalition,,Birmingham,AL,,33.5157399,-86.7765441,YBUSA,Bibb County School District,2011 Riverside Dr.	Macon	GA	31204,32.856935,-83.643415,300.7063937421519
Strive Together,Bold Goals Coalition,,Birmingham,AL,,33.5157399,-86.7765441,YBUSA,BI-CAP YouthBuild,3023 Mill St NE	Bemidji	MN	56601,47.46806,-94.83356,1692.7117727981163
Strive Together,Bold Goals Coalition,,Birmingham,AL,,33.5157399,-86.7765441,YBUSA,Build With Pride,4283 El Cajon Boulevard	San Diego	CA	92105,32.754885,-117.102191,2815.7744063974537
Strive Together,Bold Goals Coalition,,Birmingham,AL,,33.5157399,-86.7765441,YBUSA,Building Futures YouthBuild,5800 Godfrey Road	Godfrey	IL	62035,38.95288,-90.19333,677.8850176200295
Strive Together,Boston Opportunity Agenda,,Boston,MA,,42.3511243,-71.0726395,YBUSA,American YouthWorks,1901 E. Ben White Bv	Austin	TX	78741,30.21537,-97.747365,2729.404069871783
Strive Together,Boston Opportunity Agenda,,Boston,MA,,42.3511243,-71.0726395,YBUSA,AMIkids Baton Rouge,5555 Beechwood Drive	Baton Rouge	LA	70805,30.50109,-91.14448,2218.6118625080003
Strive Together,Boston Opportunity Agenda,,Boston,MA,,42.3511243,-71.0726395,YBUSA,AMIkids Beaufort Inc.,60 Honeybee Island Road	Seabrook	SC	29940,32.56899,-80.68511,1377.9383761864663
Strive Together,Boston Opportunity Agenda,,Boston,MA,,42.3511243,-71.0726395,YBUSA,Antelope Valley YouthBuild,38626 9th Street East	Palmdale	CA	93550,34.58539,-118.11403,4132.521749402509
Strive Together,Boston Opportunity Agenda,,Boston,MA,,42.3511243,-71.0726395,YBUSA,Arrowhead YouthBuild,702 Third Avenue	Virginia	MN	55792,47.51762,-92.53375,1778.0577694798078
Strive Together,Boston Opportunity Agenda,,Boston,MA,,42.3511243,-71.0726395,YBUSA,Asian Media Access,2418 Plymouth Ave N	Minneapolis	MN	55411,44.99179,-93.31169,1807.2580126409582
Strive Together,Boston Opportunity Agenda,,Boston,MA,,42.3511243,-71.0726395,YBUSA,Aurora YouthBuild,1685 N Farnsworth Ave.	Aurora	IL	60505,41.791075,-88.281367,1419.8199615011315
Strive Together,Boston Opportunity Agenda,,Boston,MA,,42.3511243,-71.0726395,YBUSA,Beloit Fresh Start,20 Eclipse Center	Beloit	WI	53511,42.52033,-89.03186,1471.6563228512712
Strive Together,Boston Opportunity Agenda,,Boston,MA,,42.3511243,-71.0726395,YBUSA,Benton Harbor YouthBuild,315 East Main Street	Benton Harbor	MI	49022,42.11733,-86.45102,1265.0259511169675
Strive Together,Boston Opportunity Agenda,,Boston,MA,,42.3511243,-71.0726395,YBUSA,Bethel YouthBuild,1250 Portland Avenue	Chicago Heights	IL	60411,41.50823,-87.62403,1370.6793808442867
Strive Together,Boston Opportunity Agenda,,Boston,MA,,42.3511243,-71.0726395,YBUSA,Bibb County School District,2011 Riverside Dr.	Macon	GA	31204,32.856935,-83.643415,1527.310924389766
Strive Together,Boston Opportunity Agenda,,Boston,MA,,42.3511243,-71.0726395,YBUSA,BI-CAP YouthBuild,3023 Mill St NE	Bemidji	MN	56601,47.46806,-94.83356,1947.575150239769
Strive Together,Boston Opportunity Agenda,,Boston,MA,,42.3511243,-71.0726395,YBUSA,Build With Pride,4283 El Cajon Boulevard	San Diego	CA	92105,32.754885,-117.102191,4143.325601899569
Strive Together,Boston Opportunity Agenda,,Boston,MA,,42.3511243,-71.0726395,YBUSA,Building Futures YouthBuild,5800 Godfrey Road	Godfrey	IL	62035,38.95288,-90.19333,1653.3831029525707
Strive Together,Bridge to Success Community Partnership,,Waterbury,CT,,41.5651369,-73.0353244,YBUSA,American YouthWorks,1901 E. Ben White Bv	Austin	TX	78741,30.21537,-97.747365,2546.3808983853687
Strive Together,Bridge to Success Community Partnership,,Waterbury,CT,,41.5651369,-73.0353244,YBUSA,AMIkids Baton Rouge,5555 Beechwood Drive	Baton Rouge	LA	70805,30.50109,-91.14448,2034.389458614682
Strive Together,Bridge to Success Community Partnership,,Waterbury,CT,,41.5651369,-73.0353244,YBUSA,AMIkids Beaufort Inc.,60 Honeybee Island Road	Seabrook	SC	29940,32.56899,-80.68511,1208.0676996682935
Strive Together,Bridge to Success Community Partnership,,Waterbury,CT,,41.5651369,-73.0353244,YBUSA,Antelope Valley YouthBuild,38626 9th Street East	Palmdale	CA	93550,34.58539,-118.11403,3976.467296700041
Strive Together,Bridge to Success Community Partnership,,Waterbury,CT,,41.5651369,-73.0353244,YBUSA,Arrowhead YouthBuild,702 Third Avenue	Virginia	MN	55792,47.51762,-92.53375,1675.73712843973
Strive Together,Bridge to Success Community Partnership,,Waterbury,CT,,41.5651369,-73.0353244,YBUSA,Asian Media Access,2418 Plymouth Ave N	Minneapolis	MN	55411,44.99179,-93.31169,1680.7913539210135
Strive Together,Bridge to Success Community Partnership,,Waterbury,CT,,41.5651369,-73.0353244,YBUSA,Aurora YouthBuild,1685 N Farnsworth Ave.	Aurora	IL	60505,41.791075,-88.281367,1265.17978789962
Strive Together,Bridge to Success Community Partnership,,Waterbury,CT,,41.5651369,-73.0353244,YBUSA,Beloit Fresh Start,20 Eclipse Center	Beloit	WI	53511,42.52033,-89.03186,1323.6692974333675
Strive Together,Bridge to Success Community Partnership,,Waterbury,CT,,41.5651369,-73.0353244,YBUSA,Benton Harbor YouthBuild,315 East Main Street	Benton Harbor	MI	49022,42.11733,-86.45102,1112.2516277052125
Strive Together,Bridge to Success Community Partnership,,Waterbury,CT,,41.5651369,-73.0353244,YBUSA,Bethel YouthBuild,1250 Portland Avenue	Chicago Heights	IL	60411,41.50823,-87.62403,1213.2101408190351
Strive Together,Bridge to Success Community Partnership,,Waterbury,CT,,41.5651369,-73.0353244,YBUSA,Bibb County School District,2011 Riverside Dr.	Macon	GA	31204,32.856935,-83.643415,1347.4809722247028
Strive Together,Bridge to Success Community Partnership,,Waterbury,CT,,41.5651369,-73.0353244,YBUSA,BI-CAP YouthBuild,3023 Mill St NE	Bemidji	MN	56601,47.46806,-94.83356,1841.7257297557767
Strive Together,Bridge to Success Community Partnership,,Waterbury,CT,,41.5651369,-73.0353244,YBUSA,Build With Pride,4283 El Cajon Boulevard	San Diego	CA	92105,32.754885,-117.102191,3981.742269917947
Strive Together,Bridge to Success Community Partnership,,Waterbury,CT,,41.5651369,-73.0353244,YBUSA,Building Futures YouthBuild,5800 Godfrey Road	Godfrey	IL	62035,38.95288,-90.19333,1482.4927445441463
Strive Together,Bridgeport Prospers,,Bridgeport,CT,,41.1792402,-73.1894193,YBUSA,American YouthWorks,1901 E. Ben White Bv	Austin	TX	78741,30.21537,-97.747365,2518.7147417164347
Strive Together,Bridgeport Prospers,,Bridgeport,CT,,41.1792402,-73.1894193,YBUSA,AMIkids Baton Rouge,5555 Beechwood Drive	Baton Rouge	LA	70805,30.50109,-91.14448,2001.227156586813
Strive Together,Bridgeport Prospers,,Bridgeport,CT,,41.1792402,-73.1894193,YBUSA,AMIkids Beaufort Inc.,60 Honeybee Island Road	Seabrook	SC	29940,32.56899,-80.68511,1166.0072952601479
Strive Together,Bridgeport Prospers,,Bridgeport,CT,,41.1792402,-73.1894193,YBUSA,Antelope Valley YouthBuild,38626 9th Street East	Palmdale	CA	93550,34.58539,-118.11403,3966.6682385326194
Strive Together,Bridgeport Prospers,,Bridgeport,CT,,41.1792402,-73.1894193,YBUSA,Arrowhead YouthBuild,702 Third Avenue	Virginia	MN	55792,47.51762,-92.53375,1686.4637872359613
Strive Together,Bridgeport Prospers,,Bridgeport,CT,,41.1792402,-73.1894193,YBUSA,Asian Media Access,2418 Plymouth Ave N	Minneapolis	MN	55411,44.99179,-93.31169,1683.868740168118
Strive Together,Bridgeport Prospers,,Bridgeport,CT,,41.1792402,-73.1894193,YBUSA,Aurora YouthBuild,1685 N Farnsworth Ave.	Aurora	IL	60505,41.791075,-88.281367,1257.7627979160566
Strive Together,Bridgeport Prospers,,Bridgeport,CT,,41.1792402,-73.1894193,YBUSA,Beloit Fresh Start,20 Eclipse Center	Beloit	WI	53511,42.52033,-89.03186,1319.1117595270314
Strive Together,Bridgeport Prospers,,Bridgeport,CT,,41.1792402,-73.1894193,YBUSA,Benton Harbor YouthBuild,315 East Main Street	Benton Harbor	MI	49022,42.11733,-86.45102,1106.0422528380511
Strive Together,Bridgeport Prospers,,Bridgeport,CT,,41.1792402,-73.1894193,YBUSA,Bethel YouthBuild,1250 Portland Avenue	Chicago Heights	IL	60411,41.50823,-87.62403,1204.5448937132203
Strive Together,Bridgeport Prospers,,Bridgeport,CT,,41.1792402,-73.1894193,YBUSA,Bibb County School District,2011 Riverside Dr.	Macon	GA	31204,32.856935,-83.643415,1309.1621545464047
Strive Together,Bridgeport Prospers,,Bridgeport,CT,,41.1792402,-73.1894193,YBUSA,BI-CAP YouthBuild,3023 Mill St NE	Bemidji	MN	56601,47.46806,-94.83356,1851.1832172230854
Strive Together,Bridgeport Prospers,,Bridgeport,CT,,41.1792402,-73.1894193,YBUSA,Build With Pride,4283 El Cajon Boulevard	San Diego	CA	92105,32.754885,-117.102191,3969.3292606878463
Strive Together,Bridgeport Prospers,,Bridgeport,CT,,41.1792402,-73.1894193,YBUSA,Building Futures YouthBuild,5800 Godfrey Road	Godfrey	IL	62035,38.95288,-90.19333,1466.0201424969673
Strive Together,Bright Futures for Monterey County,,Seaside,CA,,36.6516548,-121.7977985,YBUSA,American YouthWorks,1901 E. Ben White Bv	Austin	TX	78741,30.21537,-97.747365,2337.0552569668207
Strive Together,Bright Futures for Monterey County,,Seaside,CA,,36.6516548,-121.7977985,YBUSA,AMIkids Baton Rouge,5555 Beechwood Drive	Baton Rouge	LA	70805,30.50109,-91.14448,2908.5254222228423
Strive Together,Bright Futures for Monterey County,,Seaside,CA,,36.6516548,-121.7977985,YBUSA,AMIkids Beaufort Inc.,60 Honeybee Island Road	Seabrook	SC	29940,32.56899,-80.68511,3762.3207636692555
Strive Together,Bright Futures for Monterey County,,Seaside,CA,,36.6516548,-121.7977985,YBUSA,Antelope Valley YouthBuild,38626 9th Street East	Palmdale	CA	93550,34.58539,-118.11403,404.6298016601968
Strive Together,Bright Futures for Monterey County,,Seaside,CA,,36.6516548,-121.7977985,YBUSA,Arrowhead YouthBuild,702 Third Avenue	Virginia	MN	55792,47.51762,-92.53375,2679.2928452159067
Strive Together,Bright Futures for Monterey County,,Seaside,CA,,36.6516548,-121.7977985,YBUSA,Asian Media Access,2418 Plymouth Ave N	Minneapolis	MN	55411,44.99179,-93.31169,2554.5547865602534
Strive Together,Bright Futures for Monterey County,,Seaside,CA,,36.6516548,-121.7977985,YBUSA,Aurora YouthBuild,1685 N Farnsworth Ave.	Aurora	IL	60505,41.791075,-88.281367,2924.839708422364
Strive Together,Bright Futures for Monterey County,,Seaside,CA,,36.6516548,-121.7977985,YBUSA,Beloit Fresh Start,20 Eclipse Center	Beloit	WI	53511,42.52033,-89.03186,2864.514877218806
Strive Together,Bright Futures for Monterey County,,Seaside,CA,,36.6516548,-121.7977985,YBUSA,Benton Harbor YouthBuild,315 East Main Street	Benton Harbor	MI	49022,42.11733,-86.45102,3076.1183089368737
Strive Together,Bright Futures for Monterey County,,Seaside,CA,,36.6516548,-121.7977985,YBUSA,Bethel YouthBuild,1250 Portland Avenue	Chicago Heights	IL	60411,41.50823,-87.62403,2979.69758285071
Strive Together,Bright Futures for Monterey County,,Seaside,CA,,36.6516548,-121.7977985,YBUSA,Bibb County School District,2011 Riverside Dr.	Macon	GA	31204,32.856935,-83.643415,3489.320046602124
Strive Together,Bright Futures for Monterey County,,Seaside,CA,,36.6516548,-121.7977985,YBUSA,BI-CAP YouthBuild,3023 Mill St NE	Bemidji	MN	56601,47.46806,-94.83356,2512.7128308091555
Strive Together,Bright Futures for Monterey County,,Seaside,CA,,36.6516548,-121.7977985,YBUSA,Build With Pride,4283 El Cajon Boulevard	San Diego	CA	92105,32.754885,-117.102191,609.9424073801471
Strive Together,Bright Futures for Monterey County,,Seaside,CA,,36.6516548,-121.7977985,YBUSA,Building Futures YouthBuild,5800 Godfrey Road	Godfrey	IL	62035,38.95288,-90.19333,2775.4302003872317
